,DURATION,SRC_BYTES,DST_BYTES,COUNT,SRV_COUNT,SAME_SRV_RATE,DIFF_SRV_RATE,SRV_DIFF_HOST_RATE,DST_HOST_COUNT,DST_HOST_SRV_COUNT,DST_HOST_SAME_SRV_RATE,DST_HOST_DIFF_SRV_RATE,DST_HOST_SAME_SRV_PORT_RATE,DST_HOST_SRV_DIFF_HOST_RATE,DST_HOST_SERROR_RATE,DST_HOST_SRV_SERROR_RATE,CLASS
0,0,44.0,110.0,71,151,1.0,0.0,0.01,255,255,1.0,0.0,0.0,0.0,0.0,0.0,Normal Package
1,0,176.0,5163.0,1,5,1.0,0.0,0.6000000000000001,255,245,0.96,0.01,0.0,0.0,0.0,0.0,Potential Thread
2,0,223.0,338.0,6,8,1.0,0.0,0.25,6,255,1.0,0.0,0.17,0.06,0.0,0.0,Normal Package
3,0,241.0,934.0,7,7,1.0,0.0,0.0,40,255,1.0,0.0,0.03,0.07,0.0,0.0,Normal Package
4,0,0.0,0.0,277,7,0.03,0.05,0.0,255,7,0.03,0.05,0.0,0.0,1.0,1.0,Potential Thread
5,0,105.0,145.0,1,1,1.0,0.0,0.0,64,64,1.0,0.0,0.02,0.0,0.0,0.0,Normal Package
6,0,253.0,1721.0,13,32,1.0,0.0,0.09,168,255,1.0,0.0,0.01,0.01,0.0,0.0,Normal Package
7,0,233.0,2698.0,1,2,1.0,0.0,1.0,255,242,0.9500000000000001,0.02,0.0,0.0,0.0,0.0,Potential Thread
8,0,44.0,139.0,77,157,1.0,0.0,0.01,255,242,0.9500000000000001,0.01,0.0,0.0,0.0,0.0,Potential Thread
9,0,0.0,0.0,4,3,0.5,0.75,0.67,255,43,0.17,0.04,0.0,0.0,1.0,1.0,Normal Package
10,0,8.0,0.0,1,1,1.0,0.0,0.0,1,137,1.0,0.0,1.0,0.5,0.0,0.0,Potential Thread
11,0,0.0,0.0,171,16,0.09,0.06,0.0,255,16,0.06,0.06,0.0,0.0,1.0,1.0,Potential Thread
12,0,501760.0,0.0,1,1,1.0,0.0,0.0,182,37,0.2,0.02,0.2,0.0,0.0,0.0,Normal Package
13,0,854.0,452.0,1,2,1.0,0.0,1.0,79,168,0.41000000000000003,0.04,0.01,0.01,0.0,0.0,Potential Thread
14,0,0.0,0.0,98,17,0.17,0.06,0.0,255,17,0.07,0.07,0.0,0.0,1.0,1.0,Potential Thread
15,0,235.0,4547.0,7,12,1.0,0.0,0.17,228,228,1.0,0.0,0.0,0.0,0.0,0.0,Potential Thread
16,0,0.0,0.0,125,4,0.03,0.06,0.0,140,17,0.12,0.11,0.01,0.0,1.0,1.0,Potential Thread
17,0,246.0,1344.0,7,11,1.0,0.0,0.27,255,255,1.0,0.0,0.0,0.0,0.0,0.0,Potential Thread
18,0,215.0,4080.0,5,5,1.0,0.0,0.0,124,255,1.0,0.0,0.01,0.04,0.0,0.0,Normal Package
19,1,2844.0,367.0,1,1,1.0,0.0,0.0,255,169,0.66,0.01,0.0,0.0,0.0,0.0,Potential Thread
20,0,0.0,0.0,103,13,0.13,0.06,0.0,255,2,0.01,0.07,0.0,0.0,1.0,1.0,Normal Package
21,0,207.0,667.0,5,7,1.0,0.0,0.29,255,255,1.0,0.0,0.0,0.0,0.0,0.0,Potential Thread
22,0,0.0,0.0,102,1,0.01,0.08,0.0,255,1,0.0,0.07,0.0,0.0,0.0,0.0,Normal Package
23,0,0.0,0.0,236,17,0.07,0.07,0.0,255,17,0.07,0.08,0.0,0.0,0.0,0.0,Normal Package
24,0,0.0,0.0,218,12,0.06,0.06,0.0,255,12,0.05,0.07,0.0,0.0,1.0,1.0,Normal Package
25,2,0.0,0.0,437,2,0.0,0.52,0.0,255,2,0.01,0.51,1.0,0.0,0.0,0.0,Potential Thread
26,0,0.0,0.0,105,5,0.05,0.05,0.0,255,5,0.02,0.04,0.0,0.0,1.0,1.0,Normal Package
27,0,286.0,616.0,12,12,1.0,0.0,0.0,12,255,1.0,0.0,0.08,0.03,0.0,0.0,Normal Package
28,0,0.0,0.0,204,24,0.12,0.05,0.0,255,24,0.09,0.05,0.0,0.0,1.0,1.0,Potential Thread
29,0,313.0,267.0,32,32,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,Normal Package
30,0,310.0,3222.0,1,2,1.0,0.0,1.0,53,41,0.77,0.06,0.02,0.0,0.0,0.0,Potential Thread
31,0,303.0,1547.0,17,17,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,Normal Package
32,0,1874.0,0.0,8,8,1.0,0.0,0.0,255,102,0.4,0.02,0.4,0.0,0.0,0.0,Potential Thread
33,0,1032.0,0.0,511,511,1.0,0.0,0.0,255,209,0.8200000000000001,0.02,0.8200000000000001,0.0,0.0,0.0,Potential Thread
34,0,0.0,0.0,141,20,0.14,0.06,0.0,255,20,0.08,0.06,0.0,0.0,1.0,1.0,Potential Thread
35,0,0.0,0.0,242,2,0.01,0.06,0.0,255,19,0.07,0.06,0.0,0.0,1.0,1.0,Normal Package
36,31401,1.0,0.0,2,2,1.0,0.0,0.0,255,2,0.01,0.8200000000000001,1.0,0.0,0.0,0.0,Potential Thread
37,0,200.0,2345.0,6,6,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,Potential Thread
38,0,0.0,0.0,100,9,0.09,0.06,0.0,255,9,0.04,0.05,0.0,0.0,1.0,1.0,Normal Package
39,0,0.0,0.0,216,1,0.0,0.07,0.0,255,1,0.0,0.09,0.0,0.0,0.0,0.0,Potential Thread
40,0,1342.0,0.0,4,4,1.0,0.0,0.0,193,52,0.27,0.02,0.27,0.0,0.0,0.0,Potential Thread
41,0,199.0,530.0,6,6,1.0,0.0,0.0,163,255,1.0,0.0,0.01,0.02,0.01,0.01,Normal Package
42,0,45.0,130.0,43,121,1.0,0.0,0.02,233,171,0.73,0.02,0.0,0.0,0.0,0.0,Potential Thread
43,0,0.0,0.0,253,4,0.02,0.06,0.0,255,19,0.07,0.07,0.0,0.0,1.0,1.0,Normal Package
44,0,0.0,0.0,99,1,0.01,0.09,0.0,255,1,0.0,0.08,0.0,0.0,1.0,1.0,Normal Package
45,0,984.0,337.0,1,1,1.0,0.0,0.0,102,169,0.68,0.04,0.01,0.01,0.0,0.0,Potential Thread
46,0,44.0,130.0,1,1,1.0,0.0,0.0,5,5,1.0,0.0,1.0,0.0,0.0,0.0,Potential Thread
47,0,1032.0,0.0,301,301,1.0,0.0,0.0,169,75,0.44,0.04,0.44,0.0,0.01,0.0,Normal Package
48,5,1048.0,336.0,1,3,1.0,0.0,1.0,125,198,0.8,0.03,0.01,0.01,0.0,0.0,Normal Package
49,0,46.0,135.0,19,149,1.0,0.0,0.01,77,223,0.8200000000000001,0.03,0.8200000000000001,0.01,0.0,0.0,Potential Thread
50,0,279.0,602.0,26,27,1.0,0.0,0.07,255,255,1.0,0.0,0.0,0.0,0.0,0.0,Potential Thread
51,0,0.0,0.0,251,16,0.06,0.06,0.0,255,16,0.06,0.07,0.0,0.0,1.0,1.0,Potential Thread
52,0,0.0,0.0,235,15,0.06,0.06,0.0,255,15,0.06,0.07,0.0,0.0,1.0,1.0,Normal Package
53,0,221.0,13125.0,9,11,1.0,0.0,0.18,22,255,1.0,0.0,0.05,0.04,0.0,0.0,Potential Thread
54,0,0.0,0.0,200,18,0.09,0.07,0.0,255,18,0.07,0.07,0.0,0.0,1.0,1.0,Normal Package
55,0,0.0,0.0,192,17,0.09,0.06,0.0,255,6,0.02,0.09,0.0,0.0,1.0,1.0,Normal Package
56,244,215.0,6074.0,1,1,1.0,0.0,0.0,124,28,0.23,0.04,0.01,0.0,0.0,0.0,Potential Thread
57,0,0.0,0.0,143,18,0.13,0.06,0.0,255,18,0.07,0.07,0.0,0.0,0.0,0.0,Normal Package
58,0,0.0,0.0,117,9,0.08,0.06,0.0,255,9,0.04,0.08,0.0,0.0,1.0,1.0,Potential Thread
59,0,0.0,0.0,141,16,0.11,0.06,0.0,255,16,0.06,0.07,0.0,0.0,1.0,1.0,Potential Thread
60,1,1365.0,334.0,1,2,1.0,0.0,1.0,255,123,0.48,0.02,0.0,0.0,0.0,0.0,Normal Package
61,0,195.0,319.0,16,16,1.0,0.0,0.0,72,255,1.0,0.0,0.01,0.02,0.0,0.0,Normal Package
62,0,209.0,2120.0,8,8,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,Normal Package
63,0,287.0,25044.0,2,2,1.0,0.0,0.0,2,255,1.0,0.0,0.5,0.05,0.0,0.0,Potential Thread
64,8610,146.0,105.0,1,1,1.0,0.0,0.0,255,1,0.0,0.52,0.89,0.0,0.0,0.0,Normal Package
65,0,42.0,132.0,207,206,1.0,0.01,0.0,96,63,0.66,0.02,0.01,0.0,0.0,0.0,Normal Package
